"DocumentID (has format doc-x-xx). 

Write ""doc-x-xx"" with the x's having the appropriate numbers for the document you are reviewing. Include the ""doc-"" prefix. Use lowercase letters.",Parties Involved. Look at the top of the form for the parties involved in the case.,Kind of personal data involved in the case (select all that apply). This is the data that is the subject of the dispute.,Legal Issue,Document Type,Date of Document or Case,Type of court.,"Something interesting? Potential Problematic Strategic Use of HIPAA. This applies to cases where HIPAA is being used to undermine lawsuits that seeks to assert individual rights (e.g. lawsuits about environmental harms, workplace injuries or drug harms or just feels ""creepy"") [OPTIONAL]",,,,,,
doc-2-20,Healthcare Provider vs. Healthcare Provider (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Depositions,2004,State court,,,,,,,
doc-4-12,Neither Party is a Covered Entity,Legal or Criminal Information,,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-2-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,Expert Witness Reports,2010,State court,,,,,,,
doc-4-13,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2021,State court,,,,,,,
doc-4-14,NA,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2010,Federal court,Case is over medical malpractice not HIPAA directly,,,,,,
doc-2-22,Individual vs. medical device manufacturer,Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,State court,,,,,,,
doc-4-15,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Depositions,2020,Federal court,Case in not really about HIPAA,,,,,,
doc-5-1,resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-2-23,Individual vs. University,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2005,State court,,,,,,,
doc-3-39,Business Associate of Covered Entity (Covered Entity),Financial Data,,Expert Witness Reports,2014,Federal court,,,,,,,
doc-2-24,Individual vs. Government,"Personal Health Information (including biometrics, such as DNA), Demographics, Geo-location or GPS Data, Legal or Criminal Information",,Depositions,2024,State court,,,,,,,
doc-2-25,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2015,State court,,,,,,,
doc-5-2,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-2-26,Healthcare Provider vs. Healthcare Provider (Covered Entity),Internet or Network Activity,,Depositions,2007,State court,,,,,,,
doc-5-1,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,NA. This is not a legal case but appears to be an expert's resume.,,,,,,
doc-5-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,State court,This case involves an example of a privacy violation where an employee had accessed patient data without proper authorization; this highlights the complexities of HIPAA compliance and internal privacy safeguards.,,,,,,
doc-5-41,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Legal or Criminal Information",,Expert Witness Reports,2008,Federal court,,,,,,,
doc-5-61,"PGH GLOBAL (CAYMAN) LIMITED, Plaintiff vs. LIQUID INTERACTIVE, LLC, Defendant","Personal Health Information (including biometrics, such as DNA), Internet or Network Activity",,Expert Witness Reports,2018,Federal court,,,,,,,
doc-5-81,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-10-29,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2021,Federal court,,,,,,,
doc-6-20,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2013,Federal court,,,,,,,
doc-10-28,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2012,Federal court,,,,,,,
doc-10-27,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2004,Federal court,,,,,,,
doc-10-26,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Court Rulings/Decisions,2006,Federal court,,,,,,,
doc-6-21,"Believe neither party is covered entity, but I'm not sure",Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,Federal court,,,,,,,
doc-6-22,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-6-39,Neither Party is a Covered Entity,"Not applicable (e.g. because you are dealing with a resume), Expert's Resume",,Vitae,2018,Federal court,,,,,,,
doc-6-1,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-6-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2015,Federal court,,,,,,,
doc-6-23,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2007,State court,The only mention of HIPAA is in a confidentiality statement at the top stating that the material must be appropriately destroyed when it is no longer required.,,,,,,
doc-6-41,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-10-25,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-6-40,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Resume,2020,Federal court,,,,,,,
doc-6-61,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2009,Can't tell,,,,,,,
doc-6-24,Unclear whether either party is a healthcare provider,Not applicable (e.g. because you are dealing with a resume),,Vitae,2002,State court,,,,,,,
doc-10-24,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity, Geo-location or GPS Data",,Court Rulings/Decisions,2020,Federal court,,,,,,,
doc-6-41,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2020,Federal court,,,,,,,
doc-7-1,Individual vs. Government (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Geo-location or GPS Data, Legal or Criminal Information",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-10-22,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2004,Federal court,,,,,,,
doc-6-25,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-6-42,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2021,Federal court,,,,,,,
doc-8-12,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity",,Expert Witness Reports,2001,Federal court,,,,,,,
doc-10-21,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Court Rulings/Decisions,2008,Federal court,,,,,,,
doc-6-43,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2021,Federal court,,,,,,,
doc-6-44,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Report and Affidavit.,2020,Federal court,,,,,,,
doc-9-12,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Court Rulings/Decisions,2020,Federal court,,,,,,,
doc-6-45,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Federal court,,,,,,,
doc-6-46,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Expert Deposition",2005,State court,,,,,,,
doc-6-47,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Federal court,,,,,,,
doc-6-48,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2023,Federal court,,,,,,,
doc-10-32,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-6-49,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2022,Federal court,,,,,,,
doc-6-50,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Federal court,,,,,,,
doc-6-51,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Federal court,,,,,,,
doc-11-52,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-6-26,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Federal court,,,,,,,
doc-6-52,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Federal court,,,,,,,
doc-1-4,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2018,Federal court,,,,,,,
doc-6-53,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2010,Federal court,,,,,,,
doc-6-54,Individual vs. Business,"Personal Health Information (including biometrics, such as DNA), Demographics",,"Vitae, Expert Report and Affidavit",2005,State court,,,,,,,
doc-2-20,Neither Party is a Covered Entity,Financial Data,,Court Rulings/Decisions,2004,Federal court,,,,,,,
doc-9-19,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Court Rulings/Decisions,2016,Federal court,,,,,,,
doc-6-55,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2012,Federal court,,,,,,,
doc-9-18,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2009,Federal court,,,,,,,
doc-6-56,University vs. Individual,"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data",,Expert Trial Transcript,2005,Federal court,,,,,,,
doc-9-16,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Legal Notices,2020,Federal court,,,,,,,
doc-2-40,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Depositions,2015,State court,,,,,,,
doc-6-57,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Expert Report and Affidavit",2013,Federal court,Possibly applicable (employment discrimination related to medical conditions).,,,,,,
doc-6-58,Individual vs. Government Entity,"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Expert Report and Affidavit",2014,Federal court,,,,,,,
doc-2-60,Neither Party is a Covered Entity,Legal or Criminal Information,,Depositions,2011,Federal court,,,,,,,
doc-2-80,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2013,Federal court,,,,,,,
doc-9-14,Neither Party is a Covered Entity,Legal or Criminal Information,,Court Rulings/Decisions,2022,Federal court,,,,,,,
doc-8-10,Individual vs. Individual,Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,State court,,,,,,,
doc-6-27,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2006,State court,,,,,,,
doc-5-59,It is a list of publications on resume so doesn't state about this,Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,Can't tell,,,,,,,
doc-6-28,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2012,State court,,,,,,,
doc-8-11,Individual vs. Hospital,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,Federal court,,,,,,,
doc-5-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2021,Federal court,very well structured,,,,,,
doc-6-29,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-5-60,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2020,State court,,,,,,,
doc-5-4,Neither Party is a Covered Entity,Real Estate Information,,Expert Witness Reports,2005,Federal court,,,,,,,
doc-5-39,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Affidavit",2014,State court,"Interesting: expert advocates for stronger protections than HIPAA requires (confidentiality protections for patients in drug and alcohol treatment settings) (and it is also Cambridge, MA!)",,,,,,
doc-5-40,"(do not know, vitae)","(do not know, vitae)",,Vitae,2023,Can't tell,,,,,,,
doc-5-61,Neither Party is a Covered Entity,"Educational or Professional Licensing Data, Internet or Network Activity",,Expert Witness Reports,2018,State court,,,,,,,
doc-5-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2019,Federal court,It was the expert who determined that the defendant is HIPAA covered,,,,,,
doc-8-12,Insurance Company vs. Corporation,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2001,State court,,,,,,,
doc-2-3,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2005,State court,,,,,,,
doc-5-6,Healthcare Provider vs. Healthcare Provider (Covered Entity),Demographics,,Expert Witness Reports,2009,Federal court,,,,,,,
doc-2-23,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2005,Federal court,,,,,,,
doc-2-43,Individual vs. Health Insurance Plan (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2020,Federal court,,,,,,,
doc-8-13,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,State court,,,,,,,
doc-2-63,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,Federal court,,,,,,,
doc-5-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2004,Federal court,,,,,,,
Doc-5-19,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-8-14,Individual vs. Hospital,Hospital failed to provide proper treatment,,Expert Witness Reports,2014,State court,,,,,,,
doc-2-83,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2010,State court,,,,,,,
doc-5-8,Business Associate of Covered Entity (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,Federal court,,,,,,,
doc-5-9,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2014,State court,,,,,,,
doc-5-10,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2006,Federal court,,,,,,,
doc-3-3,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,Federal court,,,,,,,
doc-3-23,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2015,Federal court,,,,,,,
Doc-5-20,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Internet or Network Activity, Geo-location or GPS Data, Social Media or Online Content",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-3-43,Neither Party is a Covered Entity,Financial Data,,Vitae,2022,State court,,,,,,,
doc-5-81,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2021,Federal court,,,,,,,
doc-8-15,Individual vs. Mental Health Service,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,State court,,,,,,,
doc-5-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2019,State court,,,,,,,
doc-5-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2015,Federal court,,,,,,,
Doc-5-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,State court,,,,,,,
doc-5-82,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2021,Federal court,,,,,,,
doc-5-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Internet or Network Activity, Legal or Criminal Information",,Expert Witness Reports,2006,Federal court,,,,,,,
doc-5-13,Insurance v. Insurance,Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,Federal court,,,,,,,
doc-5-25,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-3-18,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Legal or Criminal Information",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-5-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-5-45,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2014,Federal court,,,,,,,
Doc-5-22,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-5-15,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,State court,,,,,,,
doc-8-16,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,State court,,,,,,,
doc-5-65,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Depositions,2012,Federal court,,,,,,,
doc-5-16,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-5-83,One of the parties is a limited partnership of medical professionals that was formed for the case. Not sure what it means that the party in the case is a limited partnership.,Financial Data,,Expert Witness Reports,2016,Federal court,,,,,,,
doc-5-17,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2012,State court,,,,,,,
doc-5-85,Neither Party is a Covered Entity,"Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-8-17,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,State court,,,,,,,
doc-5-18,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Internet or Network Activity, Legal or Criminal Information",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-6-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2021,Federal court,,,,,,,
doc-5-84,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2021,Federal court,,,,,,,
Doc-2-100,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Name on Photo",,Expert Witness Reports,2004,State court,Mainly does with a photo of an angioplasty with patients name on it. No other HIPAA info.,,,,,,
doc-8-18,Individual vs. Chemical Company,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2023,State court,,,,,,,
doc-5-59,Resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2023,Can't tell,,,,,,,
doc-5-85,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2021,Federal court,,,,,,,
doc-6-25,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-30,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2016,State court,Two software companies legal procedures. HIPAA is only mentioned as a form of experience.,,,,,,
doc-5-86,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2023,Federal court,,,,,,,
doc-5-60,Individual vs. Healthcare Provider (Covered Entity),Legal or Criminal Information,,"Legal Notices, Letter",2020,Can't tell,,,,,,,
doc-6-45,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Federal court,,,,,,,
Doc-2-40,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,HIPAA is only used to say that patient information will be classified.,,,,,,
doc-6-65,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Federal court,,,,,,,
doc-5-87,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2013,Federal court,,,,,,,
doc-5-2,Healthcare Provider (doctor) vs Hospital they formerly worked at,"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Vitae",2014,Federal court,Goes over whether or not hospital employee violated someone's hipaa privacy,,,,,,
doc-3-19,Neither Party is a Covered Entity,relates to technology and APIs,,"Expert Witness Reports, Vitae",2017,Federal court,,,,,,,
doc-6-30,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2011,Federal court,,,,,,,
doc-7-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-5-61,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2018,State court,,,,,,,
doc-5-88,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2004,Federal court,,,,,,,
doc-6-31,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,State court,,,,,,,
doc-5-22,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity",,"Expert Witness Reports, Vitae",2020,Federal court,TEXT MESSAGES are HIPAA covered (Doctors messaging other doctors),,,,,,
doc-8-16,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-8-19,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2022,State court,,,,,,,
doc-5-62,Resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2012,Can't tell,,,,,,,
doc-5-89,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2020,Federal court,,,,,,,
doc-5-90,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2023,Federal court,,,,,,,
doc-11-55,Individual vs. Government,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2023,Federal court,,,,,,,
doc-6-32,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2015,Federal court,,,,,,,
doc-8-20,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2005,State court,,,,,,,
doc-5-42,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,State court,,,,,,,
doc-6-33,Not stated,Not applicable (e.g. because you are dealing with a resume),,Vitae,Not known,Can't tell,,,,,,,
doc-5-91,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-5-62,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2012,Can't tell,,,,,,,
doc-5-92,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2022,Federal court,,,,,,,
doc-5-82,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2021,Federal court,11-anonymity mentioned,,,,,,
doc-6-34,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,"Expert Witness Reports, Affidavit",2010,Federal court,,,,,,,
doc-5-63,Government vs. Healthcare Entity (Covered Entity),Legal or Criminal Information,,Expert Witness Reports,2022,State court,,,,,,,
doc-5-93,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-6-2,can't tell,Not applicable (e.g. because you are dealing with a resume),,Vitae,2011,Can't tell,,,,,,,
doc-9-01,Healthcare Provider vs. Healthcare Provider (Covered Entity),Financial Data,,Court Rulings/Decisions,2018,State court,,,,,,,
doc-9-02,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2012,State court,,,,,,,
doc-6-22,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2010,Federal court,Only says it violates some form of HIPAA but nothing else?,,,,,,
doc-5-94,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-5-64,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Expert Witness Reports, Vitae",2019,Can't tell,,,,,,,
doc-6-42,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2021,Can't tell,,,,,,,
doc-6-35,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2016,Federal court,,,,,,,
doc-9-03,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2014,State court,,,,,,,
doc-5-95,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,Federal court,Not sure what the case is about since this is only a CV but the case itself is about restrictive abortion access. The defendant is the Attorney General of Tennessee.,,,,,,
doc-3-20,Neither Party is a Covered Entity,Trade Secret,,Expert Witness Reports,2016,Federal court,,,,,,,
doc-6-36,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Federal court,,,,,,,
doc-9-04,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2017,State court,,,,,,,
doc-5-65,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Depositions,2012,State court,,,,,,,
doc-9-05,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2021,State court,,,,,,,
doc-6-37,Not stated,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Federal court,,,,,,,
