document id,type of court response,type of court reasoning,parties involved response,parties involved reasoning,kind of personal data involved in the case response,kind of personal data involved in the case reasoning,date of document or case response,date of document or case reasoning,document type response,document type reasoning,something interesting response,something interesting reasoning,"does this document contain expert opinions, credentials, or testimony response","does this document contain expert opinions, credentials, or testimony reasoning",evaluator
doc-5-27,federal court,"the document refers to 'm.d.fla.' (middle district of florida) and mentions 'u.s. district court for the middle district of florida in the ocala division', indicating this is a federal district court case.",government vs. healthcare entity,"the case is referenced as 'u.s.a. ex. rel. karyn d. walker, vs. r & f properties of lake county, inc.' which indicates a qui tam action where the government (represented by the relator walker) is bringing a case against what appears to be a healthcare entity.","educational or professional licensing data, not applicable","this document is primarily a cv/resume of joette p. derricks containing her educational background and professional credentials. it doesn't specify what personal data is at issue in the underlying case, though it mentions her expertise in hipaa compliance and healthcare billing.",2008,"the document header clearly states it was 'filed in u.s. ex rel. walker v. r & f properties of lake county, inc., (m.d.fla., may 30, 2008)'","vitae, expert witness reports","this document is primarily the curriculum vitae of joette p. derricks, listing her professional history, education, certifications, and experience. it also contains a section titled 'expert reports/testimonies' that references her work as an expert witness, including in this case regarding 'alleged incorrect claim submissions to medicare.'",,there is no indication of problematic strategic use of hipaa in this document. it's simply an expert witness's cv that includes mention of her hipaa expertise among other healthcare regulatory knowledge.,yes,"this document is primarily a detailed curriculum vitae of joette p. derricks, showcasing her credentials as a healthcare management and compliance expert. it includes her educational background, certifications (including healthcare compliance), professional experience, speaking engagements, publications, and a list of previous expert reports and testimonies.",claude
doc-5-28,federal court,"the document header clearly states 'united states district court, w.d. louisiana' indicating this is a federal court case.",individual vs. healthcare provider,"the case involves maier (likely a social worker at lafayette general medical center) versus green et al. (possibly law enforcement). maier was arrested for refusing to disclose patient information, acting in her capacity as a healthcare provider/social worker.",personal health information,"the case revolves around protecting the identity of a patient at lafayette general medical center. patient identity is considered protected health information under hipaa, and the expert discusses hipaa privacy rules extensively in relation to disclosure of patient information to law enforcement.",2006,"the document is dated december 16, 2006, and the case citation also indicates 2006 (maier, v. green et al., 2006 wl 6659778).",expert witness reports,"this is clearly an expert report from john c. simoneaux, ph.d., who provides professional opinion on whether liz maier acted in accordance with hipaa regulations when refusing to disclose patient information to law enforcement.","this case illustrates tension between hipaa privacy protections and law enforcement interests. a social worker was arrested for properly following hipaa regulations by refusing to disclose patient identity to police without proper authorization, highlighting how healthcare professionals can face legal jeopardy when adhering to privacy laws.","the document describes a situation where a social worker was arrested for refusing to reveal a patient's identity to law enforcement, despite this refusal being consistent with hipaa privacy protections. this demonstrates conflict between different legal obligations and authorities.",yes,"the entire document is an expert report from john c. simoneaux, ph.d., a psychologist providing professional analysis of hipaa regulations, social worker licensing laws, and ethical codes to determine if ms. maier acted appropriately in refusing to disclose patient information.",claude
doc-5-29,federal court,"the document shows this case is in the 'united states district court, w.d. wisconsin' (western district of wisconsin), which is a federal court.",neither party is a covered entity,"the parties are authenticom, inc. (plaintiff) and cdk global, llc and the reynolds and reynolds company (defendants). these are companies in the car dealership data management industry, not healthcare entities covered by hipaa.","demographics, financial data, internet or network activity, other","the relevant data mentioned includes customer information (name, address, phone number, email), customer experience data, inventory data, service information, and sales transactional information. these relate to car dealership operations and customer interactions, not healthcare data.",2017,"the document is dated may 17, 2017, as shown in the header information.",expert witness reports,this is a 'declaration of peter swire' who is serving as an expert witness providing opinions on security and privacy for data practices in the car dealership industry.,this case isn't about hipaa violations but uses hipaa as a comparative example to argue for data sharing practices in car dealership industry,"peter swire references hipaa as a point of comparison, arguing that if data intermediaries are acceptable in healthcare (which has stricter privacy requirements under hipaa), they should be acceptable in the auto dealer industry. hipaa is used as a benchmark for privacy standards, not being strategically misused.",yes,"this document is a declaration by peter swire, who presents his credentials (former chief counselor for privacy in the u.s. office of management and budget, professor at georgia tech) and provides expert opinions on data security and privacy practices in the car dealership industry.",claude
doc-5-30,federal court,"the document header indicates 'w.d.wis.' which stands for western district of wisconsin, identifying this as a federal district court case.",neither party is a covered entity,"the case is 'cahill, helen et al v. realty income corporation et al.' based on the names, this appears to be individuals versus a real estate corporation, neither of which are typically covered entities under hipaa.","educational or professional licensing data, not applicable","this document is dr. icenogle's cv/resume filed as an expert witness, containing his professional and educational background. it doesn't provide information about personal data involved in the underlying case itself.",2014,"the document header clearly states it was filed on march 24, 2014 in the western district of wisconsin.",vitae,"this is clearly a curriculum vitae (cv) or resume of daniel l. icenogle, m.d., j.d., submitted to establish his qualifications as an expert witness in the case.",,"while dr. icenogle has expertise in hipaa (evidenced by his publications and presentations), there's nothing in this document suggesting problematic strategic use of hipaa legislation.",yes,"this document is a comprehensive cv of dr. icenogle detailing his medical and legal credentials, education, publications, and presentations, filed to establish his qualifications as an expert witness in the case.",claude
doc-5-31,federal court,"the document indicates it was filed in the western district of wisconsin (w.d.wis.), which is a federal district court.",other,the case involves atlantic specialty insurance company versus united states of america. neither appears to be a hipaa covered entity in this context. this is an expert resume filed in what appears to be an insurance case against the government.,not applicable,the document is a cv/resume of dr. icenogle submitted as an expert witness. it doesn't describe the underlying case details or any personal data at issue in the litigation.,2017,"the document header shows it was filed on april 21, 2017, and the citation includes '2017 wl 2624240 (2017)'.","vitae, expert witness reports","this is explicitly labeled as 'court filed expert resume' and contains dr. icenogle's professional credentials, education, publications, and experience as submitted to the court.",,"there is no evidence of problematic strategic use of hipaa in this document. while dr. icenogle has expertise in hipaa (as shown by his publications and presentations), this is simply his professional resume submitted as an expert witness.",yes,"this document is specifically a cv/resume of dr. daniel l. icenogle who is serving as an expert witness in the case. it details his medical and legal credentials, professional activities, publications, and presentations, including multiple ones related to hipaa.",claude
doc-5-32,federal court,"the document header clearly states 'united states district court, w.d. wisconsin' which indicates this is a federal district court case.",neither party is a covered entity,"the case is between atlantic specialty insurance company (plaintiff) and the united states of america (defendant). neither party appears to be a healthcare provider, health plan, or healthcare clearinghouse that would qualify as a hipaa covered entity.","personal health information, demographics","the document contains detailed medical information about richard land's injuries, treatments, medical history, shoulder examinations, and functional assessments. it also includes basic demographic information like his date of birth (redacted as xx/xx/1966).",2017,"the document is dated april 12, 2017, as indicated in the header and also noted in the reference to 'your letter of april 4, 2017' within the text.","expert witness reports, vitae","this is an expert witness report from dr. daniel l. icenogle providing medical opinions about richard land's injuries and disabilities. the document also includes dr. icenogle's extensive curriculum vitae listing his education, experience, publications, and presentations.",,the document does not appear to involve any problematic strategic use of hipaa. this seems to be a straightforward expert witness report for an injury case. hipaa is only mentioned in the context of dr. icenogle's professional expertise and published works.,yes,"the document is primarily an expert report from dr. daniel l. icenogle, providing medical opinions about richard land's injuries, disabilities, and functional limitations. it also includes dr. icenogle's detailed credentials, including his education, professional experience, licensure, certifications, and publication history.",claude
doc-5-33,federal court,"the document header shows 'w.d.wis.' which stands for western district of wisconsin, indicating this is a federal court case.",other,"this document is an expert witness resume for dr. daniel l. icenogle in a case titled 'carter, johnson v. griggs, carla'. the document doesn't provide information about whether any parties are covered entities under hipaa.",not applicable,this document is merely a resume/cv of an expert witness (dr. icenogle) and doesn't describe the actual personal data involved in the underlying case.,2019,"the document header shows '2019 wl 4727797 (2019)' and indicates it was filed on june 12, 2019.",vitae,"this is clearly an expert witness resume/cv ('court filed expert resume') that details dr. icenogle's education, professional experience, publications, and presentations.",,"while dr. icenogle has expertise in hipaa (as evidenced by his publications and presentations on the topic), this document is simply his cv and doesn't provide any information about potentially problematic uses of hipaa in the case.",yes,"this document is exclusively the credentials/vitae of dr. daniel l. icenogle who is serving as an expert witness. it lists his education, professional experience, publications, and presentations, demonstrating his qualifications as an expert, particularly in areas of medicine, healthcare law, and hipaa compliance.",claude
doc-5-34,state court,"the document header clearly states 'superior court of alaska, anchorage borough' indicating this is a case being heard in a state court system.",individual vs. healthcare provider,"the case is titled 'courtney guy, v. providence alaska medical center', showing it's between an individual patient (courtney guy) and a hospital (providence alaska medical center), which is a covered healthcare provider under hipaa.","personal health information, demographics, legal or criminal information","the case involves a hospital employee accessing and disclosing the patient's medical information including injury details and treatments (phi), demographic information (home address, contact info of fiancée), and legal information (details about police investigation, patient's cooperation with law enforcement).",2018,"the expert report is dated september 14, 2018, as indicated in the document header and footer. the case itself appears to have been filed in 2016 (case number 3an-16-05145).",expert witness reports,"this document is titled 'expert report of christian h. mongrain, p.t., d.p.t.' and contains his professional analysis of the hipaa violations that occurred at providence alaska medical center.","this case highlights how hipaa violations can create serious physical danger to patients. an employee accessed confidential medical records of an assault victim and shared that information with one of the attackers, demonstrating the link between privacy violations and patient safety.","this case is notable because it shows how hipaa violations can directly endanger patients. the hospital employee (laulu) accessed records of a patient who was a victim of violent assault and shared that information with one of the perpetrators of that assault, creating a serious safety risk.",yes,"the entire document is an expert report by christian h. mongrain, p.t., d.p.t., who analyzes whether the medical center's actions complied with the standard of care for patient confidentiality. his credentials are listed and his analysis constitutes expert opinion on hipaa compliance.",claude
doc-5-35,federal court,"the document header specifies 'united states district court, s.d. mississippi' which indicates this is a federal district court case in the southern district of mississippi.",healthcare provider vs. healthcare provider,the case involves the university of mississippi medical center (ummc) as plaintiff against spencer k. sullivan and mississippi center for advanced medicine (mcam). both are healthcare providers - ummc is a medical center and dr. sullivan formed his own medical practice (mcam) after leaving ummc.,"personal health information, demographics","the document discusses patient lists, contact information, medication data, and medical records that ummc claims as trade secrets. specifically mentioned are 'patient lists which contained patient contact information and patient health information such as current medications' and 'compilation reports and other documents showing patients' current and past medical history.'",2021,"the document is dated march 4, 2021, as indicated in the header of the expert report.",expert witness reports,"this is clearly an expert witness report from michael j. malinowski, jd, ba. the document is labeled as 'report or affidavit of michael j. malinowski' and includes his qualifications, documents relied upon, anticipated testimony, and expert opinions regarding the case.","ummc appears to be using trade secret claims to control patient information, which contradicts hipaa's core principle that medical information belongs to patients","ummc is claiming that patient information constitutes trade secrets, which the expert argues is contrary to hipaa principles. the expert states that 'ummc's effort to claim trade secret status for the medical records and patient list at issue in this litigation is contrary to public policy, patients' right to choose their health care provider, and the duty of care owed to these patients.' this represents an attempt to use proprietary claims over information that under hipaa belongs to the patients themselves.",yes,"the entire document is an expert report from michael j. malinowski, who provides his credentials as a professor specializing in health law and policy from tufts university and yale law school. the report contains his qualifications, methodology, and detailed opinions about hipaa obligations, patient rights, and the proper handling of medical records when physicians change practices.",claude
doc-5-36,federal court,"the document header shows 'united states district court, n.d. georgia, atlanta division' which indicates a federal court (specifically the northern district of georgia).",individual vs. government entity (covered entity),the case is between andrew harley speaker (individual plaintiff) and the u.s. department of health and human services/centers for disease control and prevention (government entity defendant) which is a covered entity under hipaa.,personal health information,"the case revolves around the disclosure of mr. speaker's tuberculosis (tb) diagnosis, treatment details, and medical condition. the affidavit specifically mentions the cdc's improper release of 'details about andrew speaker's medical condition' which constitutes protected health information (phi) under hipaa.",2009,"the document is dated july 22, 2009, and the case number (1:09-cv-1137) also indicates it was filed in 2009.",expert witness reports,"this is an affidavit from dr. michael d. iseman who is providing expert testimony regarding the standards of care in tb treatment, hipaa compliance, and the cdc's actions in mr. speaker's case.","this case represents an unusual situation where a government health agency (cdc) is accused of violating hipaa by publicly disclosing a patient's confidential medical information through press conferences, potentially to advance a public health agenda about worldwide tb transmission.","dr. iseman suggests in paragraphs 19-22 that the cdc unnecessarily publicized mr. speaker's medical condition when there was no public health emergency requiring such disclosure, noting that similar cases were not publicized, and speculating that 'the cdc had an agenda in the summer of 2007 to call public attention to the issue of worldwide transmission of tb.'",yes,"the entire document is an expert affidavit from dr. michael d. iseman, who details his extensive qualifications in tb research and treatment (paragraphs 3-8), and provides expert opinions about hipaa standards, who guidelines, and how the cdc's actions deviated from applicable standards of care.",claude
doc-5-37,federal court,"the document indicates the case was filed in '(d.wyo., april 08, 2004)' where 'd.wyo.' refers to the united states district court for the district of wyoming, which is a federal court.",individual vs. healthcare provider,"the document shows the case is 'daman heitz v. campbell county memorial hospital, et al.' which involves an individual plaintiff suing a hospital (healthcare provider), which is a hipaa covered entity.",not applicable,"this document is peter swire's resume/cv that was filed in a case, not the case documents themselves. while swire has expertise in hipaa and medical privacy (as shown by his role as 'white house coordinator for hipaa medical privacy regulation'), the cv itself doesn't specify what personal data was at issue in the heitz case.",2004,"the document header clearly states it was filed on 'april 08, 2004' and the citation at the top also indicates '2004 wl 6033622 (2004)'.",vitae,"this document is peter p. swire's curriculum vitae/resume filed as part of a legal case. it details his professional experience, education, publications, speeches, and credentials, but does not contain any actual expert testimony or opinions about the case.",,the document is simply a curriculum vitae of an expert witness with hipaa expertise. it doesn't contain any information suggesting problematic or strategic use of hipaa.,yes,"the document is peter p. swire's curriculum vitae/resume that was filed in a legal case, presumably as part of his role as an expert witness. it contains his extensive credentials related to privacy law and hipaa, including his role as 'white house coordinator for hipaa medical privacy regulation' and numerous publications on privacy topics, though it does not contain his actual opinions or testimony about the specific case.",claude
doc-5-38,state court,"the document header indicates it was 'filed in massachusetts' and specifically in '(mass.super., april 15, 2014)' which refers to massachusetts superior court, a state court.",individual vs. healthcare provider,"the document header references 'mary doe v cambridge health alliance, et al' which indicates an individual plaintiff (mary doe) suing a healthcare provider (cambridge health alliance), which would be a covered entity under hipaa.",not applicable,this document is simply a resume/cv of steven s. burke who appears to be an expert witness. it does not contain information about the personal data involved in the underlying case.,2014,"the document is clearly dated as '2014 wl 10105428 (2014)' and indicates it was filed on 'april 15, 2014'.",vitae,"this is explicitly labeled as a 'court filed expert resume' and contains steven s. burke's professional background, education, experience, and expertise. it is essentially a curriculum vitae submitted for court purposes.",,there is no evidence of problematic strategic use of hipaa in this document. it merely lists hipaa compliance as one of the areas of expertise for the expert witness.,yes,"this document is entirely comprised of the credentials and qualifications of steven s. burke who appears to be serving as an expert witness in the case. it details his education, experience in healthcare facility management, regulatory compliance expertise, and previous work as an expert in malpractice cases.",claude
doc-5-39,state court,"the document header explicitly states 'superior court of massachusetts, middlesex county' indicating this is a state-level court case in massachusetts.",individual vs. healthcare provider,the case involves mary doe (an individual) as plaintiff against cambridge health alliance (a healthcare provider/covered entity) and veronica marquez (an employee of the healthcare provider) as defendants.,"personal health information, legal or criminal information","the case concerns substance abuse treatment information, which is protected health information. the affidavit specifically discusses substance abuse treatment records and the sensitive nature of drug and alcohol treatment information. it also references potential legal consequences for patients if such information is disclosed ('lest they be arrested and prosecuted').",2014,"the affidavit is dated march 11, 2014, as indicated at the beginning and end of the document. the case number (micv201300271) suggests it was filed in 2013.",expert witness reports,"this document is an affidavit from steven s. burke who is identified as an expert witness for the plaintiff, providing his professional opinion on hipaa requirements, confidentiality standards in substance abuse treatment settings, and apparent violations in this case.","this case involves an apparent hipaa violation where a healthcare worker disclosed a patient's substance abuse history to their employer, causing potential discrimination and harm. the expert emphasizes that substance abuse information requires even stricter protection than standard hipaa provisions due to stigmatization risks.","the document describes how veronica marquez allegedly disclosed the plaintiff's substance abuse treatment information to their employer, violating both hipaa and the more stringent federal regulations (42 cfr part 2) protecting substance abuse treatment information. the expert notes this area requires enhanced protection due to stigmatization.",yes,"the entire document is an affidavit from steven s. burke who presents his credentials (44 years in healthcare, mba, licensed nursing home administrator), expertise in hipaa compliance, and professional opinions regarding confidentiality standards in substance abuse treatment settings.",claude
doc-5-40,can't tell,"this document is not a court case but rather a list of publications by caldwell fletcher, j.d. it does not reference any specific court proceedings.",neither party is a covered entity,the document is simply a list of publications by an expert. it does not involve any legal dispute between parties or covered entities under hipaa.,not applicable,this document is essentially a resume or cv listing publications by caldwell fletcher. it contains professional publication information but no personal data relevant to a hipaa case.,2023,"the document has a copyright notice indicating '© 2023 thomson reuters', suggesting it was compiled or published in 2023, though the individual publications date from 1991-2013.",vitae,"this is clearly a list of professional publications for caldwell fletcher, j.d., which constitutes part of a curriculum vitae or resume documenting his expertise in workers' compensation and related legal areas.","the expert has published twice on 'the hipaa privacy rule and texas workers' compensation: correcting the record', suggesting potential intersections between hipaa and workers' compensation claims, though without the full text it's unclear if there are problematic applications.",publications #9 and #10 both address hipaa privacy rules in the context of texas workers' compensation. the title suggests there may be misconceptions about hipaa's application in workers' comp cases that the author is attempting to address.,yes,"this document contains credentials of caldwell fletcher, j.d., listing his professional publications on workers' compensation, hipaa, and other legal topics, establishing his expertise in these areas.",claude
doc-5-41,federal court,"the document indicates it was filed in 's.d.ill.' which stands for the southern district of illinois, a federal district court.",other,"the case is 'walker et al v. monsanto company pension plan, the et al', which involves individuals suing a pension plan. neither party appears to be a hipaa covered entity as this is an erisa (employee retirement income security act) related case.","educational or professional licensing data, not applicable","this document is a curriculum vitae of marcia s. wagner showing her professional qualifications, including her bar admissions (professional licensing) and educational background. the cv itself doesn't relate to any personal health information or other data relevant to the case.",2008,"the document is dated and filed on january 22, 2008, and is referenced as '2008 wl 8749514 (2008)' in the header.","vitae, other","this is clearly a curriculum vitae (cv) of marcia s. wagner, showing her qualifications as an expert witness in erisa/employee benefits law. it was filed as an expert resume in the court case.",,"there is no evidence of problematic use of hipaa in this document. this is simply an expert's cv for a pension plan case, though it does note the expert has published works related to hipaa compliance.",yes,"this document is entirely comprised of the credentials, qualifications, publications, and professional background of marcia s. wagner, who is serving as an expert in erisa/employee benefits law in this case.",claude
doc-5-42,state court,"the document identifies the court as 'court of common pleas of pennsylvania, allegheny county' which is a state-level trial court in pennsylvania.",individual vs. healthcare provider,"the case is captioned 'horblitt, v. hurwitz et al.' where horblitt appears to be an individual patient suing dr. hurwitz (a surgeon who performed a total body lift procedure) and magee women's hospital, both healthcare providers.",personal health information,"the case involves surgical procedures (total body lift) performed on the plaintiff. the document mentions hipaa authorization requirements related to the collection and analysis of medical record information, indicating personal health information was at issue. dr. hurwitz allegedly failed to obtain proper hipaa waivers while conducting what the expert considers human subject research.",2010,"the document is dated february 10, 2010, though it references a surgery that occurred in may 2005.",expert witness reports,"this is clearly identified as a 'report or affidavit of john c. hyde, ph.d.' who is serving as an expert witness for the plaintiff. the document contains his professional opinions regarding standard of care, irb requirements, and hipaa compliance.","the document suggests a healthcare provider used novel surgical techniques on patients without proper irb oversight or hipaa authorizations, potentially avoiding the heightened informed consent and patient protections these processes would have required.",dr. hurwitz appears to have been conducting what the expert considers human subject research through his total body lift procedures without obtaining irb approval or hipaa waivers. this potentially deprived patients of important protections while allowing the physician to collect and use patient data for research/publication purposes.,yes,"the entire document is an expert report from john c. hyde, ph.d., providing opinions on hospital standards, irb requirements, and hipaa compliance related to the total body lift procedure performed by dr. hurwitz at magee women's hospital.",claude
doc-5-43,federal court,"the document header clearly states 'united states district court, e.d. pennsylvania' and includes a federal case number format (2:16-cv-02881-cmr).",other,"the case involves mro corporation (plaintiff) which appears to be a health information management company/business associate that handles medical records, and humana, inc. (defendant), which is identified as a medicare managed care organization (mco). this represents a business dispute between a business associate and a health insurance plan.",personal health information,"the case revolves around fees for medical record copies. the dispute centers on whether humana is entitled to pay the 'cms rate' of $0.12 per page for copies of medical records. while specific phi isn't directly discussed, the entire dispute concerns access to and payment for medical records containing protected health information.",2018,"the expert report is explicitly dated april 13, 2018, as shown in both the header and the body of the document.",expert witness reports,"this is an expert report submitted by wayne h. van halem on behalf of the plaintiff, mro corporation. the document includes his credentials, background, scope of assignment, information reviewed, and expert opinions regarding whether humana should be entitled to the 'cms rate' for medical record copies.","the case reveals an interesting strategic attempt by humana to leverage hipaa-adjacent regulations to reduce costs for medical record requests by claiming entitlement to reduced 'cms rates' normally reserved for government contractors, despite admitting they are not a rac or qio.","humana appears to be arguing that because they perform 'similar' functions to government contractors like racs and qios, they should qualify for the same reduced rates for medical records ($0.12/page with $25 cap) despite not being actual government contractors. the expert argues this is improper as humana keeps any recovered funds rather than returning them to medicare, suggesting humana is attempting to use regulations meant for government contractors to improve their own profitability.",yes,"this document is an expert report from wayne h. van halem that includes his detailed credentials (section i), previous expert testimony experience (section ii), scope of assignment (section iii), and expert opinions (section v) regarding whether humana should be entitled to the 'cms rate' for medical record copies.",claude
doc-5-44,federal court,"the document header clearly states 'united states district court, d. nevada' which is a federal district court. the case number format (220cv00651) is also consistent with federal court numbering.",other,"the case involves kristi ann walter (an individual) versus the state of nevada, board of psychological examiners, which is a state regulatory/licensing board, not a healthcare provider or covered entity under hipaa.","personal health information, educational or professional licensing data","the document discusses psychological records, which would contain personal health information. it also involves the board of psychological examiners, suggesting professional licensing issues are at stake. the document discusses standards for records retention and release of protected health information (phi).",2021,"the document is dated december 6, 2021, as indicated in the header information.",expert witness reports,"the document is explicitly identified as 'report of psychologists' standard of care in nevada of dr. brian c. lech, ph.d., j.d.' and is labeled as an 'expert report and affidavit' in the header.",,"the document does not demonstrate problematic use of hipaa. instead, it clarifies proper standards for handling psychological records and explains how both hipaa and nevada law support patient rights to access their records, even citing nevada supreme court cases that affirm patient access rights.",yes,"this is explicitly an expert report provided by dr. brian c. lech, who holds both ph.d. and j.d. credentials. the document offers expert opinions on the standard of care for psychologists in nevada, including legal and ethical obligations regarding records management and patient confidentiality.",claude
doc-5-45,federal court,"the document indicates it was filed in the southern district of texas (s.d.tex.), which is a federal district court.",individual vs. health insurance plan,"the case is titled 'willett v. unitedhealth group, inc. et al.' unitedhealth group is a health insurance provider, which would be a covered entity under hipaa.",not applicable,this document is simply caldwell fletcher's resume/cv (vitae) filed as an expert witness. it does not provide information about what personal data might be at issue in the underlying case.,2014,"the document header states it was filed on march 17, 2014, and the citation shows '2014 wl 9963808 (2014)'.",vitae,"this is clearly a curriculum vitae (resume) for caldwell fletcher, listing his employment history, education, certifications, memberships, and publications. it was filed as part of court proceedings as evidenced by the header information.",,"while fletcher has written articles about hipaa privacy rule in relation to texas workers' compensation (as shown in his publications list), this document doesn't provide any information about potentially problematic uses of hipaa in the case itself.",yes,"this document is the curriculum vitae of caldwell fletcher who was clearly being presented as an expert witness in the case. it contains his credentials including education, employment history, board certifications, and publications specifically related to workers' compensation and hipaa privacy matters.",claude
doc-5-46,federal court,"the document header specifies 'united states district court, d. colorado' with case number 'no. 1:19-cv-00857-skc', which indicates this is a federal court case.",individual vs. healthcare provider,"the case involves emily r. lasala (an individual plaintiff) suing multiple healthcare providers: john a. millard (a physician), john a. millard, m.d., p.c. (a medical corporation), matthew b. baker (a physician being deposed), and philippe a. capraro, m.d., p.c. (a medical corporation).","personal health information, medical information not covered by hipaa","the deposition extensively discusses ms. lasala's breast augmentation surgery, complications involving her pectoralis major muscle detachment, surgical findings, operative reports, and treatment details. it includes specific medical information about her anatomy, procedures performed, and surgical outcomes.",2020,"the document is dated april 10, 2020, as stated in the heading: 'april 10, 2020. zoom deposition of matthew b. baker, m.d.'",depositions,"this is clearly a deposition transcript as indicated in the title 'zoom deposition of matthew b. baker, m.d.' and follows the question and answer format typical of depositions, with attorneys asking questions and the deponent (dr. baker) providing answers.","the document reveals potential strategic use of hipaa where a physician (dr. baker) is confronted about sharing patient operative reports with another doctor (dr. millard) via text message without explicit patient consent. dr. baker later requested deletion of these messages when litigation became apparent, raising questions about preservation of medical records and potential hipaa violations being used defensively.","the deposition shows dr. baker initially shared findings about ms. lasala with dr. millard via text, then later requested dr. millard delete those messages. when questioned about hipaa compliance, dr. baker asserts physicians can freely share information without patient consent if both are treating the patient. there are discussions about whether this sharing was appropriate and whether deleting text messages containing protected health information constituted destruction of medical records.",yes,"dr. baker provides expert medical testimony throughout the deposition regarding surgical procedures, medical findings, and potential causes of ms. lasala's complications. the document includes discussion of his credentials, examination of his cv, his opinions on standard of care, and technical medical assessments. he's questioned about his expertise in plastic surgery and breast augmentation, including having authored a chapter in a textbook on breast augmentation.",claude
doc-5-47,federal court,"the document header clearly states this is from the 'united states district court, m.d. tennessee, columbia division' which is a federal district court.",neither party is a covered entity,the parties are sherry monce (plaintiff) versus marshall county board of education and jackie abernathy (director of marshall county schools). school boards and their employees are not hipaa covered entities.,"personal health information, medical information not covered by hipaa, legal or criminal information","the case involves drug and alcohol testing results, prescription medication information, and medical conditions. the plaintiff's medical history (breast cancer, double mastectomy, degenerative bone disease, migraines) is discussed. the document also involves legal issues around drug testing policies and procedures.",2018,"the document is dated july 30, 2018, as indicated at the top of the report.",expert witness reports,"this is an expert report from theodore f. shults, jd, ms, who identifies himself as a forensic toxicologist and attorney. the document follows the format required by fed. r. civ. p. 26(a)(2)(b) for expert reports.",the case highlights a situation where a third-party laboratory (aegis) potentially violated hipaa by releasing protected health information to school administrators without proper authorization or mro review,the expert argues that the testing laboratory violated hipaa by directly releasing prescription drug test results and compliance assessments to school administrators rather than going through a proper medical review officer. the expert notes this constitutes phi under hipaa that was improperly disclosed to non-healthcare personnel.,yes,"this document is entirely an expert report from theodore f. shults, jd, ms, who provides detailed credentials, experience, publications, and expert opinions on drug testing procedures, laboratory protocols, and hipaa compliance issues related to the case.",claude
doc-5-48,federal court,"the document is filed in 'd.mass.' (district of massachusetts) which is a federal district court, as seen in the header: 'filed in tele-publishing, inc. v. facebook, inc., et al., (d.mass., march 29, 2010)'",neither party is a covered entity,"the case involves tele-publishing, inc. and facebook, inc., neither of which are healthcare providers, health plans, or healthcare clearinghouses under hipaa. this appears to be a commercial dispute between technology companies.",not applicable,this document is a curriculum vitae/resume of dr. latanya sweeney submitted as part of expert witness documentation. it doesn't describe the specific personal data at issue in the underlying case.,2010,"the document is dated 2010 as indicated in the header '2010 wl 5698549 (2010)' and was filed on 'march 29, 2010'","vitae, expert witness reports","this is clearly dr. latanya sweeney's curriculum vitae/resume submitted as part of expert witness documentation. it details her education, publications, research experience, and expertise in data privacy and computer science.",,"there is no evidence of problematic use of hipaa in this document. dr. sweeney is actually a pioneer in privacy technology whose work on data de-identification has been cited in hipaa regulations, as noted in the document: 'federal register, march and december 2000, health insurance privacy and portability act (hippa). my work is cited explicitly in supporting commentary on de-identification provisions of the privacy rule of hipaa.'",yes,"this document is the curriculum vitae of dr. latanya sweeney, showing her extensive credentials as an expert in data privacy, computer science, and de-identification technology. it was submitted as part of expert witness documentation in the case of tele-publishing, inc. v. facebook, inc.",claude
doc-5-49,federal court,"the document indicates this was filed in 's.d.fla.' which refers to the united states district court for the southern district of florida, a federal court.",individual vs. health insurance plan,"the document shows it was filed in 'government employees insurance co., et al. v. mark a. cereceda, et al.' this indicates a case between geico (health insurance provider) and individuals/entities.",not applicable,"this document is jean acevedo's expert witness resume/cv. while she specializes in medical coding, billing, documentation, and hipaa compliance, the document itself doesn't reveal what personal data was at issue in the underlying case.",2021,"the document is dated '2021 wl 1050930 (2021)' and shows a filing date of 'january 05, 2021'.",vitae,"this is explicitly described as a 'court filed expert resume' and contains jean acevedo's professional credentials, employment history, certifications, appointments, lectures, and publications.",,this document is simply an expert witness's credentials filing. there is no indication of problematic strategic use of hipaa visible in this resume document.,yes,"this document is explicitly a 'court filed expert resume' for jean acevedo who has expertise in medical coding, physician documentation, medicare/hipaa compliance, and auditing. she's being presented as an expert witness in the case.",claude
